,id,created_at,updated_at,doctor_id,fname,lname,office_number,specialty
1000,fc6cce54-cc82-4510-a4f5-9a5a01928daa,2020-01-01 00:00:00.000000000,2020-01-01 00:00:00.000000000,41416d68-dc27-4665-8ef0-d1acc6d394c7,Irina,Fuchs,12,Internal Medicine
1001,b02bee48-cafd-4188-8b96-b0d97b00c523,2020-01-27 02:17:08.571428571,2020-01-27 02:17:08.571428571,c8767e79-3c1b-473f-8dbf-923a209b797a,Samina,Raghid,14,Family Medicine
1002,7d4577ec-f785-405a-9d58-4435fe5e031c,2020-02-22 04:34:17.142857143,2020-02-22 04:34:17.142857143,286bbb8f-dc28-4f65-98b6-1129dee98053,Sarita,Khatri,16,Pediatrics
1003,3616dfef-3307-4652-b2fc-b8d6b026bec4,2020-03-19 06:51:25.714285714,2020-03-19 06:51:25.714285714,669ed285-d730-4d5d-b3b3-632602f24804,Larisa,Veksman,18,
1004,63c4af91-7bbd-4d72-89e5-4c41019d933e,2020-04-14 09:08:34.285714286,2020-04-14 09:08:34.285714286,abd74242-91e8-4e17-9c93-bad37b473e62,Dina,Louie,20,OB/GYN
1005,73144f3e-8345-4e58-a5c2-77e62df642a8,2020-05-10 11:25:42.857142858,2020-05-10 11:25:42.857142858,b148f0d2-edf1-4e8e-8a97-ebaa3079dab2,Teresa,Chan,22,Other
1006,b2439339-3080-4c05-a19a-6c203c375180,2020-06-05 13:42:51.428571428,2020-06-05 13:42:51.428571428,7342e79b-aee9-48f9-aff8-6228a04af913,Kevin,Charlotten,24,PMR
1007,5ecfea51-a0f3-49de-8ed9-dc07ad044e12,2020-07-01 16:00:00.000000000,2020-07-01 16:00:00.000000000,a2ff6163-0b3b-410c-bb7c-ba0f036a67b6,Fei,Wang,26,Cardiology
1008,e77f5fb6-626e-463d-8767-0d84a3ef2196,2020-07-27 18:17:08.571428572,2020-07-27 18:17:08.571428572,f3c72128-cd8b-4921-a185-7a61e8ce50b6,Melaine,McLean,28,Podiatry
1009,7ee3d5bc-c8c5-467d-83dd-5f08f9cccc87,2020-08-22 20:34:17.142857144,2020-08-22 20:34:17.142857144,81296704-366b-4027-a526-5cb42b8e924b,Dilia,Castanos,30,Pediatric Endocrinology
